book_id,tag_name
1,Christian
2,Psychology
2,Art
2,Fiction
2,Business
3,Art
3,Fiction
3,Comics
5,Biography
5,Art
5,History
6,Classics
6,Biography
6,Business
8,Fiction
10,Fiction
10,History
11,Fiction
11,Art
11,Fantasy
13,Art
13,Fiction
13,Cookbooks
13,Poetry
13,History
21,Art
21,Fiction
21,Psychology
21,History
24,History
24,Fiction
25,Fiction
25,Comics
25,Psychology
25,History
26,Cookbooks
26,Fiction
27,Comics
27,Fiction
27,Poetry
27,History
28,Fiction
28,Psychology
28,History
29,Fiction
30,Psychology
30,Poetry
30,History
30,Fiction
33,Art
33,Fiction
33,Fantasy
33,Cookbooks
34,Fantasy
34,Christian
34,Fiction
34,Business
36,History
50,Manga
50,Art
50,Fiction
50,Comics
50,Psychology
50,Poetry
67,Fiction
67,Fantasy
67,Poetry
93,Art
93,Cookbooks
93,History
93,Fiction
98,Fiction
105,Fantasy
105,History
106,Fiction
106,History
112,Art
112,Fantasy
112,Fiction
112,Psychology
112,Poetry
112,History
117,Fiction
119,Art
119,Cookbooks
122,Fiction
122,Cookbooks
122,Psychology
122,History
231,Fiction
231,Poetry
249,Psychology
249,History
249,Fiction
250,Poetry
250,History
250,Fiction
264,Fantasy
264,Poetry
264,History
264,Fiction
275,Art
275,Fiction
275,Fantasy
275,Psychology
275,History
291,Fiction
295,Mystery
295,Fiction
295,Comics
304,Fiction
320,Fantasy
320,Fiction
320,Cookbooks
343,Fiction
343,Psychology
343,Poetry
348,Poetry
348,Fiction
350,Art
350,Fiction
350,Psychology
350,Poetry
350,History
353,History
353,Fiction
355,Poetry
355,Fiction
357,Fiction
357,Psychology
357,Poetry
357,History
359,Fiction
360,Fiction
360,Business
360,Cookbooks
360,Psychology
360,Poetry
360,History
365,Fiction
365,Psychology
365,History
378,Fantasy
378,Comics
378,Fiction
378,Psychology
378,Poetry
386,Business
386,Crime
386,Fiction
386,History
400,Fiction
400,History
415,Fantasy
415,Fiction
415,History
424,Psychology
424,History
424,Fiction
428,Fiction
431,Fiction
431,Cookbooks
431,History
432,Fiction
446,Fiction
447,Comics
447,Fiction
449,Fiction
456,Psychology
456,Poetry
475,Fiction
475,Poetry
599,Psychology
599,Fiction
621,Fiction
629,Manga
629,Fiction
629,Psychology
629,Poetry
629,History
647,Fiction
656,Art
656,Fiction
656,Business
656,Fantasy
656,Comics
662,Art
662,Crime
662,Mystery
662,Fantasy
662,Psychology
662,Poetry
665,Fiction
667,Art
667,Fantasy
667,Fiction
667,Psychology
667,History
668,History
698,Psychology
698,Poetry
698,Fiction
703,Fantasy
703,Comics
703,Fiction
703,Psychology
703,Poetry
703,History
706,Art
706,Fiction
706,Poetry
706,History
760,Fantasy
760,Fiction
760,Psychology
771,Art
771,Poetry
771,History
771,Fiction
816,Fiction
816,Fantasy
816,Cookbooks
816,Poetry
816,History
822,Art
822,Psychology
822,Poetry
822,Fiction
823,Mystery
823,Fantasy
823,Poetry
823,Fiction
825,Fiction
827,Art
827,Comics
827,History
827,Fiction
830,Art
830,Fiction
830,Cookbooks
830,Psychology
830,Poetry
830,History
840,History
865,Art
865,History
865,Manga
865,Fiction
865,Fantasy
870,Art
870,Fiction
870,Fantasy
870,Poetry
870,History
880,History
890,Fiction
890,Art
890,Comics
890,Crime
890,Fantasy
902,Fantasy
902,Fiction
902,Psychology
903,Crime
903,Fiction
930,Christian
930,Art
930,Fiction
930,Comics
930,Fantasy
952,Fantasy
952,Fiction
952,Psychology
952,Poetry
960,Crime
960,Art
960,Manga
960,Fiction
960,Fantasy
968,Comics
968,Art
968,Fiction
968,Business
968,Fantasy
976,Fiction
976,Fantasy
976,Comics
976,Psychology
976,Poetry
976,History
998,Fiction
998,History
1005,Fiction
1005,Psychology
1005,Poetry
1005,History
1032,Cookbooks
1052,Fantasy
1052,Fiction
1052,Comics
1052,Psychology
1067,Business
1067,Fiction
1067,Fantasy
1067,Cookbooks
1067,History
1078,Fiction
1078,Psychology
1078,Poetry
1078,History
1097,Mystery
1097,History
1097,Fiction
1103,Fiction
1103,Fantasy
1103,Psychology
1103,History
1110,Art
1110,Cookbooks
1110,Psychology
1110,History
1110,Fiction
1171,Psychology
1171,History
1191,Poetry
1191,Fiction
1192,Art
1192,Fiction
1202,Art
1202,Fiction
1202,Fantasy
1202,Comics
1202,Psychology
1202,Poetry
1232,Fiction
1232,Art
1232,Classics
1232,Fantasy
1232,Comics
1232,Cookbooks
1241,Art
1241,Fiction
1241,Poetry
1241,History
1274,Cookbooks
1274,Psychology
1274,Poetry
1274,Fiction
1295,Fiction
1295,Psychology
1295,Poetry
1295,History
1301,Fiction
1303,Fiction
1305,Poetry
1305,Fiction
1319,Poetry
1319,History
1319,Fiction
1362,Manga
1362,Poetry
1362,History
1362,Fiction
1371,Business
1371,Fiction
1371,Cookbooks
1375,Comics
1375,Poetry
1375,History
1381,Art
1381,Fantasy
1381,Fiction
1420,Fiction
1420,Art
1420,Fantasy
1420,Comics
1426,History
1428,Fiction
1428,Fantasy
1428,Cookbooks
1428,Poetry
1428,History
1430,Manga
1430,Fiction
1430,History
1431,Fiction
1431,Cookbooks
1431,Psychology
1431,Poetry
1519,Fiction
1519,Fantasy
1524,Fantasy
1524,History
1524,Fiction
1540,Fantasy
1540,Fiction
1540,Poetry
1554,Fiction
1554,Psychology
1554,Poetry
1554,History
1591,Business
1591,Fiction
1591,Fantasy
1591,History
1617,Mystery
1617,Fiction
1617,Fantasy
1617,Comics
1617,Cookbooks
1618,Cookbooks
1618,Psychology
1618,Poetry
1618,History
1622,Crime
1622,Art
1622,Fiction
1622,Fantasy
1622,Cookbooks
1624,Comics
1624,Fiction
1624,Poetry
1624,History
1625,Fiction
1625,Art
1625,Cookbooks
1625,Psychology
1625,Poetry
1627,Fiction
1627,Psychology
1627,History
1633,Comics
1633,Fantasy
1633,History
1633,Fiction
1635,Fiction
1635,History
1715,Fiction
1715,Fantasy
1715,Psychology
1715,History
1823,Poetry
1823,History
1824,Poetry
1842,Fiction
1842,Psychology
